reponame,repourl
amo,https://localize.mozilla.org/ro/amo/export/zip
browserid,https://localize.mozilla.org/ro/browserid/export/zip
browserid-bigtent,https://localize.mozilla.org/ro/browserid_bigtent/export/zip
bugzilla,https://localize.mozilla.org/ro/bugzilla_components/export/zip
find-my-device,https://localize.mozilla.org/ro/findmydevice/export/zip
firefox-account,https://localize.mozilla.org/ro/accounts/export/zip
firefox-flickshttps://localize.mozilla.org/ro/firefoxflicks/export/zip
firefox-hello-loop,https://localize.mozilla.org/ro/loop/export/zip
firefox-input,https://localize.mozilla.org/ro/input/
glow-2014,https://localize.mozilla.org/ro/glow2014/export/zip
marketplace-devsite,https://localize.mozilla.org/ro/marketplace/export/zip
marketplace-commbadge,https://localize.mozilla.org/ro/commbadge/export/zip
marketplace-fireplace,https://localize.mozilla.org/ro/fireplace/export/zip
marketplace-spartacus,https://localize.mozilla.org/ro/spartacus/export/zip
marketplace-stats,https://localize.mozilla.org/ro/marketplace_stats/export/zip
marketplace-zippy,https://localize.mozilla.org/ro/zippy/export/zip
masterfirefoxos,https://localize.mozilla.org/ro/masterfirefoxos/export/zip
mdn,https://localize.mozilla.org/ro/mdn/export/zip
mozillians,https://localize.mozilla.org/ro/mozillians/export/zip
sumo,https://localize.mozilla.org/ro/sumo/export/zip

